stock_code,country,revenue,quantity,transactions
21350,United Kingdom,618.25,215,43
22423,Portugal,618.15,53,7
47367B,United Kingdom,617.57,174,92
23123,United Kingdom,616.88,744,91
20769,United Kingdom,616.81,350,75
20726,Australia,616.5,410,10
22555,Australia,616.2,420,5
21003,United Kingdom,616.0,104,61
72772,United Kingdom,615.84,457,9
21750,United Kingdom,615.58,283,62
22273,Netherlands,614.95,241,4
84569A,United Kingdom,614.94,490,108
84279B,EIRE,614.52,180,6
85230E,United Kingdom,614.49,2397,64
47597,United Kingdom,614.28,310,125
84917,United Kingdom,614.16,202,54
84708B,United Kingdom,613.99,118,50
84865,United Kingdom,613.9,73,50
21614,EIRE,613.5,234,8
23108,Australia,613.37,113,5
23071,United Kingdom,613.0,242,20
85019C,United Kingdom,612.94,414,23
22637,EIRE,612.9,270,16
47583A,United Kingdom,612.82,71,6
82616A,United Kingdom,612.41,312,50
21524,France,612.3,90,13
47590B,Australia,612.15,127,9
22839,Australia,612.0,48,2
21681,Netherlands,612.0,72,3
22636,Australia,612.0,80,4
22666,Australia,612.0,240,3
21216,Japan,612.0,144,4
22739,EIRE,612.0,400,16
79315W,United Kingdom,611.51,199,13
35972,United Kingdom,611.38,440,88
23040,EIRE,611.25,123,2
84858C,United Kingdom,611.07,347,30
17012D,United Kingdom,611.04,470,117
23428,United Kingdom,610.71,69,29
21593,EIRE,610.56,576,1
22856,Netherlands,610.56,576,2
gift_0001_30,United Kingdom,610.09,24,24
84986B,United Kingdom,610.06,412,75
23454,United Kingdom,610.0,142,55
84931B,United Kingdom,609.68,243,81
22949,Netherlands,609.6,480,2
22483,EIRE,609.1,226,14
21238,Netherlands,609.06,834,13
23547,United Kingdom,609.0,1450,57
22138,Netherlands,609.0,140,11
35964,United Kingdom,608.69,1034,133
20618,United Kingdom,608.64,278,134
84563A,United Kingdom,608.3,116,58
21975,Netherlands,607.2,1416,12
62094B,United Kingdom,606.55,276,63
20856,United Kingdom,606.44,367,119
84820,United Kingdom,606.42,246,40
22100,United Kingdom,605.7,769,137
22094,Netherlands,605.4,660,3
22752,France,604.8,84,16
22303,Netherlands,604.8,288,4
22274,EIRE,604.7,218,16
21154,Germany,602.5,482,37
23492,United Kingdom,602.38,72,26
22447,United Kingdom,602.11,189,72
21214,EIRE,601.8,468,7
22457,EIRE,601.8,204,22
84846A,United Kingdom,601.17,265,59
84997C,Denmark,600.78,162,8
23216,United Kingdom,600.73,501,43
20725,Spain,600.4,376,11
85197,United Kingdom,600.36,314,75
21001,United Kingdom,600.26,123,89
21167,United Kingdom,600.17,2495,118
22430,EIRE,600.0,128,19
47594B,United Kingdom,599.74,301,109
22391,United Kingdom,599.55,287,63
85146,United Kingdom,599.38,118,31
17181,United Kingdom,599.31,312,66
22077,EIRE,597.9,358,28
22635,EIRE,597.85,63,17
84596J,United Kingdom,597.59,788,138
22353,France,597.45,247,25
22312,France,597.3,174,21
23206,Germany,597.3,362,28
22849,Germany,597.05,39,11
21134,United Kingdom,596.94,347,47
84682,United Kingdom,596.94,295,51
90010B,United Kingdom,596.74,65,36
21928,Channel Islands,596.4,350,7
22556,Australia,596.4,408,5
85032C,United Kingdom,596.29,588,155
21674,United Kingdom,596.1,38,7
22179,Germany,596.1,94,15
48184,Switzerland,595.6,88,5
84520D,United Kingdom,595.27,647,91
85014B,EIRE,595.0,100,26
23408,United Kingdom,594.88,286,55
16169M,United Kingdom,594.2,1935,55
21731,Belgium,594.0,360,19
22472,Germany,594.0,120,19
84715,United Kingdom,593.29,193,42
21716,EIRE,592.8,272,6
22333,EIRE,592.8,400,7
62096A,United Kingdom,592.79,383,91
20804,United Kingdom,592.51,333,63
22278,EIRE,592.45,131,11
82494L,EIRE,592.2,204,26
84050,Norway,591.9,446,11
84963A,United Kingdom,591.55,19,8
84963B,United Kingdom,591.5,18,6
22201,EIRE,591.0,156,3
85218,Denmark,590.4,1968,1
21088,France,590.4,7176,3
22656,Netherlands,590.0,2,1
47469,United Kingdom,589.73,1213,39
22730,Denmark,589.5,162,7
23007,Netherlands,589.05,39,5
20717,EIRE,589.0,532,12
21256,United Kingdom,588.64,326,65
48188,EIRE,588.1,82,27
23017,United Kingdom,588.08,46,18
21365,United Kingdom,587.83,390,75
22507,Germany,587.75,121,23
85117,United Kingdom,587.72,343,61
22385,Germany,587.34,293,26
23471,United Kingdom,586.94,62,27
82605,United Kingdom,586.67,264,127
22082,EIRE,586.5,370,23
16169K,United Kingdom,585.25,1900,53
21879,United Kingdom,584.95,1424,144
21931,Germany,584.74,293,22
85186C,United Kingdom,584.27,1224,149
90198A,United Kingdom,583.92,138,84
22840,Australia,583.8,84,3
84707B,United Kingdom,583.69,66,50
84859A,United Kingdom,583.53,269,58
23319,Germany,583.38,258,12
21244,Netherlands,583.22,386,8
17109B,Denmark,583.2,3888,1
21578,Netherlands,582.75,259,14
20679,Austria,582.6,108,4
15056BL,Austria,582.6,108,4
22584,Germany,582.15,241,18
22604,EIRE,581.7,262,9
22236,France,581.55,49,11
21265,United Kingdom,580.51,261,31
20935,United Kingdom,580.38,302,49
85188B,United Kingdom,580.13,653,73
22652,Australia,580.0,400,2
22827,Cyprus,580.0,4,2
22748,France,579.6,276,33
22334,EIRE,579.6,392,6
22557,France,579.15,351,23
22384,France,579.15,351,31
21928,Portugal,578.5,290,18
23027,United Kingdom,578.03,271,27
21791,France,577.5,462,32
21156,Germany,577.2,296,34
21416,United Kingdom,576.81,744,23
85160A,France,576.6,4332,2
22551,Australia,576.6,396,4
23170,Netherlands,576.6,396,6
22620,EIRE,576.05,437,31
23016,United Kingdom,575.25,74,24
23222,United Kingdom,575.01,607,72
84821,United Kingdom,574.8,1084,59
21244,Germany,574.6,340,33
22418,EIRE,574.56,720,14
22296,EIRE,574.2,348,9
23187,United Kingdom,573.92,1960,66
20714,United Kingdom,573.82,1380,27
84601A,United Kingdom,573.44,238,12
82011C,United Kingdom,573.18,123,72
71101E,United Kingdom,572.87,707,46
23238,France,572.7,138,17
72122,United Kingdom,572.43,564,124
22961,Australia,572.4,408,3
23325,United Kingdom,572.34,354,29
22503,Germany,572.2,28,4
20863,United Kingdom,572.13,279,49
22043,United Kingdom,571.8,2018,120
23347,United Kingdom,571.3,428,84
15056N,France,571.2,96,20
84924A,United Kingdom,571.0,133,63
84976,United Kingdom,570.75,492,51
23120,United Kingdom,570.73,1378,109
82095,United Kingdom,570.31,96,46
21891,Australia,570.24,432,3
23166,EIRE,569.76,480,8
20655,United Kingdom,569.75,381,194
21553,United Kingdom,569.37,88,39
23453,United Kingdom,569.18,292,47
21472,EIRE,569.1,162,15
47559b,United Kingdom,568.58,171,46
84247G,United Kingdom,568.24,1331,100
85014b,United Kingdom,567.74,45,39
23236,Australia,567.67,223,6
22746,Netherlands,567.6,306,2
22748,Netherlands,567.6,306,2
22333,Australia,566.4,384,7
21304,United Kingdom,566.08,84,17
23514,United Kingdom,565.71,260,60
85028L,United Kingdom,565.51,217,24
21481,France,565.47,165,14
85205B,United Kingdom,564.83,200,57
22692,EIRE,564.6,80,14
21786,EIRE,564.48,1704,15
18094C,United Kingdom,564.41,404,96
22820,United Kingdom,564.33,921,94
22443,EIRE,564.3,74,11
17109D,United Kingdom,564.19,1181,38
23299,EIRE,564.0,160,10
21440,United Kingdom,563.81,445,100
21392,France,562.44,3690,6
22034,United Kingdom,562.43,1332,84
85092,United Kingdom,562.27,373,21
22570,EIRE,561.96,156,15
22079,EIRE,561.75,355,23
85071D,United Kingdom,561.61,889,114
85096,United Kingdom,560.91,131,64
22304,EIRE,560.7,258,9
16049,United Kingdom,560.48,3169,32
23293,Netherlands,560.43,777,6
22932,EIRE,560.1,262,6
84997C,Australia,559.08,156,4
21154,Netherlands,558.5,500,5
21843,Spain,558.45,51,14
22181,United Kingdom,557.52,614,111
21884,United Kingdom,557.47,1209,148
22549,France,556.9,394,27
84997A,Germany,556.6,148,18
23178,United Kingdom,556.56,186,58
20781,United Kingdom,556.38,100,64
20823,United Kingdom,555.47,261,21
20676,Switzerland,555.28,488,15
82486,EIRE,555.0,68,18
22747,Netherlands,555.0,300,1
21671,Germany,554.4,432,34
90120D,United Kingdom,554.13,134,40
85230B,United Kingdom,554.08,2096,67
37444C,United Kingdom,554.03,879,55
21016,United Kingdom,553.95,800,86
22654,EIRE,553.35,93,18
20760,United Kingdom,553.21,725,80
23280,Netherlands,552.96,768,6
20728,Portugal,552.75,335,20
22302,Germany,552.45,223,25
23219,United Kingdom,552.35,417,62
84378,Netherlands,551.53,485,10
23537,United Kingdom,551.43,105,33
22726,Germany,551.25,147,22
M,Finland,551.2,2,1
22042,United Kingdom,551.12,1517,121
84509c,United Kingdom,550.98,73,48
POST,Canada,550.94,1,1
22752,Denmark,550.8,72,3
85202,United Kingdom,550.77,1153,226
79323GR,EIRE,550.2,100,3
90195B,United Kingdom,550.19,62,29
23124,United Kingdom,550.13,406,37
23456,United Kingdom,550.0,136,34
22989,Australia,550.0,200,1
22142,Netherlands,550.0,440,4
84993A,United Kingdom,549.91,1234,171
22302,France,549.9,222,24
84997D,Denmark,549.88,148,6
90203,United Kingdom,549.27,73,35
37423,United Kingdom,548.68,3216,69
21344,United Kingdom,548.52,112,23
85185D,United Kingdom,548.36,162,67
22846,Belgium,548.2,36,9
20913,EIRE,548.1,214,2
22489,Japan,547.62,1489,6
22384,EIRE,547.6,344,21
21933,Netherlands,547.5,250,4
23484,United Kingdom,547.35,185,36
90058B,United Kingdom,547.24,1118,30
23499,United Kingdom,547.17,1219,111
72267,United Kingdom,546.96,273,48
47590A,Australia,546.75,115,6
23425,United Kingdom,546.74,245,51
23032,EIRE,546.6,372,7
21466,EIRE,546.6,156,17
21665,United Kingdom,546.5,737,74
85017A,United Kingdom,546.24,722,169
21311,United Kingdom,545.89,685,99
90175D,United Kingdom,545.72,60,42
22466,Australia,545.4,324,5
23008,France,545.25,35,9
23125,United Kingdom,544.88,435,36
22313,France,544.8,144,12
22080,Germany,544.5,330,25
23254,Australia,544.15,145,2
23237,Australia,544.15,145,3
23238,Netherlands,544.15,145,4
20677,Netherlands,544.1,490,13
22993,Germany,543.96,468,19
22078,Germany,543.9,259,20
84584,United Kingdom,543.75,222,66
23069,United Kingdom,543.71,86,31
22139,Switzerland,543.6,120,12
23043,United Kingdom,543.51,81,23
22622,Germany,543.4,60,6
21082,France,542.64,3096,2
79190B,United Kingdom,542.63,1338,128
85028S,United Kingdom,541.92,344,30
22989,France,541.5,182,9
84879,Germany,540.8,320,17
85129A,United Kingdom,540.41,421,79
85178,Sweden,540.0,432,3
23238,Japan,540.0,144,2
21441,United Kingdom,539.82,791,122
20725,Australia,539.15,351,13
23200,Netherlands,539.08,301,4
90010E,United Kingdom,539.01,60,36
17013D,United Kingdom,538.86,973,30
22693,Norway,538.8,504,4
22173,Germany,538.16,184,14
85086A,United Kingdom,538.13,551,150
23234,Australia,537.84,216,1
20718,EIRE,537.75,491,10
21816,United Kingdom,537.29,353,49
22253,United Kingdom,536.89,407,79
21893,United Kingdom,536.8,160,19
84563B,United Kingdom,536.79,113,58
22555,EIRE,536.4,360,9
37351,Denmark,536.4,5364,1
20702,Germany,535.5,126,18
21398,EIRE,535.32,342,5
20838,United Kingdom,535.2,410,60
23241,Australia,534.88,289,3
23451,United Kingdom,534.72,266,52
21731,Switzerland,534.6,324,18
37370,Canada,534.24,504,1
21715,Netherlands,534.15,249,9
85169B,United Kingdom,534.1,435,99
22662,Japan,534.0,360,4
85129C,United Kingdom,533.99,408,69
22558,Germany,533.87,367,20
85020,United Kingdom,533.49,239,59
22344,United Kingdom,533.17,1042,114
22204,EIRE,533.16,156,3
21888,Australia,533.16,156,2
85039C,United Kingdom,532.86,546,121
16169N,United Kingdom,532.75,1775,47
71143,United Kingdom,532.02,356,103
22538,United Kingdom,531.91,1254,82
22138,Australia,531.75,121,9
22621,Germany,530.7,342,24
23074,United Kingdom,530.63,238,47
23381,United Kingdom,530.51,1413,79
21160,United Kingdom,529.94,775,57
22400,EIRE,529.68,432,5
37474,United Kingdom,529.27,49,41
85169C,United Kingdom,529.25,458,69
22394,United Kingdom,528.95,331,55
22804,EIRE,528.0,192,11
20759,Denmark,528.0,5280,1
20756,Denmark,528.0,5280,1
21039,France,527.85,207,29
22894,Germany,527.8,58,19
22635,Norway,527.4,60,8
47590A,EIRE,526.8,104,15
22064,EIRE,526.8,360,3
21933,Sweden,526.5,210,6
23162,EIRE,525.84,152,10
22653,Australia,525.0,300,2
22326,Hong Kong,525.0,204,5
22698,Australia,525.0,204,7
23202,EIRE,524.94,253,18
22345,United Kingdom,524.87,1013,118
84880,EIRE,524.25,87,23
22561,Japan,523.65,361,3
22561,Netherlands,523.65,361,4
20713,Germany,523.64,263,24
71403,United Kingdom,523.3,131,67
22951,Sweden,523.2,1008,6
21247,United Kingdom,523.18,327,74
21004,United Kingdom,523.07,113,64
84984B,United Kingdom,522.7,318,15
20712,Switzerland,522.1,290,8
22992,Australia,522.0,312,3
21430,Netherlands,521.91,153,8
21419,United Kingdom,521.44,1244,18
20749,EIRE,521.4,68,19
21418,United Kingdom,521.09,189,67
82482,EIRE,520.8,216,21
22666,Germany,519.9,186,18
22180,EIRE,519.9,54,14
21164,Germany,519.9,186,13
22606,France,519.65,39,8
BANK CHARGES,United Kingdom,519.24,34,34
23203,Germany,518.7,250,19
22356,France,518.5,610,52
85142,United Kingdom,518.48,59,37
84051,United Kingdom,518.43,611,60
16033,Sweden,518.4,5760,4
22945,Netherlands,518.4,720,3
21734,United Kingdom,518.24,94,30
20773,United Kingdom,517.88,305,124
20888,United Kingdom,517.74,343,18
23272,United Kingdom,517.67,337,41
47021G,United Kingdom,517.54,634,71
21469,EIRE,517.5,138,21
22343,Netherlands,517.46,890,7
84859C,United Kingdom,517.42,290,38
85099B,Portugal,517.4,260,15
21844,EIRE,517.3,190,11
16012,United Kingdom,517.29,2469,77
84414B,United Kingdom,517.29,77,8
84970l,United Kingdom,516.96,247,71
22044,United Kingdom,516.92,1808,83
85119,United Kingdom,516.76,382,37
22077,Spain,516.6,300,21
22383,Portugal,516.45,313,16
47421,United Kingdom,516.42,1329,81
72801C,United Kingdom,516.36,696,55
85179A,United Kingdom,515.59,206,71
84970S,EIRE,515.46,642,28
22467,Sweden,514.8,240,10
22551,Belgium,514.8,312,25
20750,EIRE,514.8,72,13
23224,United Kingdom,514.63,557,66
21503,United Kingdom,514.5,1225,47
22637,Netherlands,514.2,244,5
84356,Germany,513.7,86,5
23139,United Kingdom,512.75,403,28
21539,Germany,512.1,106,21
72807c,United Kingdom,511.98,60,44
21210,France,511.85,353,29
46118,United Kingdom,511.85,362,73
84691,EIRE,511.8,700,8
23024,United Kingdom,511.79,201,8
23562,United Kingdom,511.61,169,41
20819,United Kingdom,511.49,180,58
21935,Netherlands,510.9,346,8
21136,Netherlands,510.4,352,2
84773,United Kingdom,510.35,173,46
84842,United Kingdom,510.3,786,35
85066,EIRE,510.0,40,17
21121,EIRE,510.0,408,12
22275,Portugal,510.0,66,5
85232D,Netherlands,510.0,120,3
21035,Australia,510.0,200,1
22653,Netherlands,509.4,292,6
23377,United Kingdom,509.38,1138,128
84804B,United Kingdom,508.93,331,20
21213,France,508.91,1133,26
21459,United Kingdom,508.85,257,43
22482,Netherlands,508.8,480,5
21928,Germany,508.46,272,17
84997D,EIRE,508.1,134,19
72728,United Kingdom,507.85,625,53
22613,Netherlands,507.52,736,13
22271,Australia,507.3,198,4
22271,Netherlands,507.3,198,4
22274,Australia,507.3,198,4
22697,Australia,507.3,198,5
23108,France,506.54,86,15
85169D,United Kingdom,506.41,426,82
21438,United Kingdom,506.37,134,33
23516,United Kingdom,506.09,131,38
84988,France,506.05,349,16
22857,United Kingdom,506.02,548,47
35004S,United Kingdom,505.4,145,24
48116,EIRE,505.34,78,10
22952,Sweden,505.2,1032,6
22378,Germany,505.0,300,34
22626,Germany,504.9,63,12
23289,Netherlands,504.85,473,6
20778,Denmark,504.0,3360,1
20775,Denmark,504.0,3360,1
22745,France,504.0,240,27
20617,United Kingdom,503.8,225,95
23199,Switzerland,503.6,270,7
22630,Denmark,503.4,268,12
23060,United Kingdom,503.21,237,43
21481,Switzerland,503.04,176,9
23115,United Kingdom,503.02,98,35
84661B,United Kingdom,502.7,214,49
20659,United Kingdom,502.26,344,142
22027,Netherlands,502.26,1381,16
23295,Germany,502.24,656,19
22837,EIRE,502.2,108,10
90014A,United Kingdom,502.01,55,40
22197,Norway,501.6,636,9
22626,Netherlands,501.5,65,6
22189,EIRE,501.24,132,17
22841,Australia,500.4,72,3
20977,Germany,500.0,400,21
22842,Australia,499.8,84,3
22843,Australia,499.8,84,3
20727,Spain,499.75,315,8
21154,EIRE,499.5,430,12
85032B,United Kingdom,499.44,567,136
16236,United Kingdom,499.35,2190,255
37340,France,499.2,4992,1
23076,Netherlands,499.2,480,2
22943,EIRE,499.05,111,11
22383,Germany,498.3,302,21
20943,United Kingdom,497.71,347,69
22085,France,497.7,206,4
22501,EIRE,497.5,50,19
84569C,United Kingdom,497.43,345,82
85113,United Kingdom,497.16,240,45
85170B,United Kingdom,496.91,293,62
21527,EIRE,496.8,64,22
22628,Germany,496.7,106,18
23081,Netherlands,496.5,66,5
20868,United Kingdom,496.44,853,68
84875B,United Kingdom,496.01,353,40
84762A,United Kingdom,495.93,57,27
22493,EIRE,495.6,312,17
84806B,United Kingdom,495.52,400,29
22666,Netherlands,495.5,194,8
23243,Sweden,495.0,100,2
21240,Germany,494.7,582,54
23212,Germany,494.52,444,9
22170,EIRE,493.8,76,14
22469,EIRE,493.6,304,22
16169C,United Kingdom,493.5,1175,39
22178,EIRE,493.5,378,25
22946,Netherlands,492.9,38,4
21173,United Kingdom,492.46,270,76
22390,United Kingdom,492.18,247,49
22197,France,492.15,579,37
23229,Australia,491.91,145,2
51020B,United Kingdom,491.87,1087,62
22964,Germany,491.4,234,23
22328,Denmark,491.1,186,5
21164,Switzerland,491.1,186,4
22336,Netherlands,490.8,888,4
16238,United Kingdom,490.22,2097,231
23298,France,490.05,99,17
23255,France,489.7,118,12
21672,EIRE,489.6,384,26
21683,Netherlands,489.6,192,2
21787,Germany,489.6,576,23
20845,United Kingdom,489.57,74,23
85091,United Kingdom,489.41,331,19
90114,United Kingdom,488.6,195,111
23229,Netherlands,488.16,144,3
21663,United Kingdom,488.16,76,32
22109,Australia,488.16,144,1
22978,Australia,488.16,144,3
22751,Netherlands,488.16,144,3
22750,Netherlands,488.16,144,3
22347,EIRE,487.92,456,3
23164,EIRE,487.8,116,4
22634,Norway,487.6,56,6
22504,Belgium,487.4,20,7
48188,Greece,487.38,74,6
84012,Germany,487.2,336,9
22411,Germany,486.72,244,17
22312,EIRE,486.3,154,11
20750,Switzerland,486.3,66,18
23255,Switzerland,485.8,124,5
23515,United Kingdom,485.14,212,55
23549,United Kingdom,485.1,1155,46
20675,Germany,485.0,388,39
20694,United Kingdom,484.72,127,52
21077,Sweden,484.48,736,10
84989B,United Kingdom,484.3,962,56
23281,Netherlands,483.84,672,5
85226C,United Kingdom,483.81,919,82
84875D,United Kingdom,483.75,371,37
47594A,United Kingdom,483.61,243,93
72132,United Kingdom,483.6,560,30
22334,Sweden,483.6,328,7
72127,United Kingdom,483.44,396,73
84901,United Kingdom,482.38,126,77
23293,Germany,482.32,632,19
23336,United Kingdom,481.81,207,83
21373,United Kingdom,481.09,552,57
84306,United Kingdom,480.83,41,29
20695,United Kingdom,480.58,110,59
84916,United Kingdom,480.51,155,60
16239,United Kingdom,480.37,343,20
35967,United Kingdom,480.23,894,113
20757,Denmark,480.0,4800,1
20758,Denmark,480.0,4800,1
22730,Germany,480.0,128,20
84459B,Netherlands,480.0,384,3
20777,Denmark,480.0,3200,1
20774,Denmark,480.0,3200,1
21791,Sweden,480.0,384,6
21465,EIRE,480.0,128,18
23297,EIRE,480.0,320,6
84657,United Kingdom,479.83,231,19
22396,Netherlands,479.76,576,5
22991,France,479.7,246,11
16244A,United Kingdom,479.41,186,28
21988,France,479.4,564,30
20864,United Kingdom,479.24,243,27
22031,United Kingdom,478.87,1089,139
21658,EIRE,478.72,128,17
22846,Australia,478.4,32,2
21929,Portugal,478.4,240,15
20793,United Kingdom,478.0,275,21
22259,United Kingdom,477.95,586,75
21563,France,477.9,162,14
20774,United Kingdom,477.53,281,122
23256,Switzerland,477.5,122,11
22489,Netherlands,477.48,1322,9
37492C,United Kingdom,477.3,242,25
21056,Japan,477.0,60,2
84029E,EIRE,476.8,128,22
21339,United Kingdom,476.7,26,12
22474,Netherlands,476.65,127,10
22551,EIRE,476.4,312,11
85230A,United Kingdom,476.16,1920,45
21322,United Kingdom,476.15,283,13
23494,Sweden,476.0,80,2
22582,Netherlands,475.8,212,6
84926E,United Kingdom,475.32,1084,53
23660,United Kingdom,475.26,270,39
22556,EIRE,475.2,288,23
22991,Australia,475.2,288,2
22534,Sweden,475.2,1296,8
23209,Germany,475.0,300,15
22692,Germany,474.5,66,14
10134,United Kingdom,474.13,397,52
22993,EIRE,473.96,412,20
79337,United Kingdom,473.89,1140,19
85136B,United Kingdom,473.77,59,47
20657,United Kingdom,473.47,549,115
22563,Sweden,472.92,444,6
22562,Sweden,472.92,444,6
22947,EIRE,471.6,48,11
22662,EIRE,471.5,310,11
84675,United Kingdom,471.41,172,56
gift_0001_20,United Kingdom,471.06,28,26
23691,United Kingdom,471.0,1150,37
90120C,United Kingdom,470.8,111,60
84884a,United Kingdom,470.18,56,39
84987,EIRE,469.8,324,25
22549,Germany,469.8,324,26
23513,United Kingdom,469.78,216,57
23206,Australia,469.65,321,6
21770,Australia,468.9,110,4
85049G,Germany,468.75,375,31
20728,Germany,468.6,284,21
22367,Germany,468.0,240,30
23398,United Kingdom,467.35,526,72
47570B,Portugal,467.1,54,2
85014a,United Kingdom,467.0,37,31
23136,United Kingdom,466.89,123,46
84997C,Hong Kong,466.88,128,4
22699,France,466.8,168,14
90160D,United Kingdom,466.67,67,24
23565,United Kingdom,466.31,314,58
84596K,United Kingdom,465.84,355,91
84931A,United Kingdom,465.24,185,82
22383,EIRE,465.1,294,19
23466,United Kingdom,465.03,51,26
21439,Japan,465.0,372,4
72799B,United Kingdom,464.76,321,15
22381,Netherlands,464.6,251,3
21524,Greece,464.4,72,5
16219,United Kingdom,464.17,3010,117
15056P,Austria,464.1,78,4
21890,EIRE,463.8,156,14
84997C,EIRE,463.1,122,16
48138,Switzerland,462.76,68,7
21561,Germany,462.6,192,11
23201,EIRE,462.54,223,17
35600D,United Kingdom,462.3,129,12
85178,EIRE,462.3,462,11
84972L,United Kingdom,462.15,117,46
21988,Netherlands,462.14,686,15
37345,EIRE,462.0,280,1
22725,EIRE,462.0,128,9
22148,Netherlands,462.0,280,3
21213,Sweden,462.0,840,8
21155,Germany,461.7,198,15
22622,Spain,461.7,46,7
35471A,United Kingdom,461.21,379,82
84876B,United Kingdom,460.81,322,42
21684,Netherlands,460.8,720,2
37352,Denmark,460.8,4608,1
20865,United Kingdom,460.59,232,30
22557,Germany,460.35,279,18
84558A,Iceland,460.2,156,7
22899,France,460.0,225,22
22962,Australia,459.48,636,3
16048,United Kingdom,459.42,3054,93
22171,Germany,459.0,54,12
21587,EIRE,459.0,180,15
22837,Netherlands,459.0,108,2
16168M,United Kingdom,458.77,1521,101
20753,United Kingdom,458.6,194,52
51020A,United Kingdom,458.31,1299,51
21655,EIRE,458.16,312,5
21259,EIRE,458.15,77,29
48187,Switzerland,458.04,64,6
22905,Netherlands,458.0,200,3
22734,EIRE,457.98,174,14
22323,EIRE,457.95,117,4
22768,EIRE,457.7,46,14
22493,Sweden,457.2,312,7
85090,United Kingdom,456.98,84,47
23320,EIRE,456.96,192,11
23045,United Kingdom,456.48,108,23
22960,Spain,456.25,113,13
20776,Denmark,456.0,3040,1
20773,Denmark,456.0,3040,1
85198,United Kingdom,455.5,523,50
22897,Germany,455.3,314,25
22537,Sweden,455.04,1248,7
21231,Germany,455.0,364,26
22632,EIRE,454.8,228,9
22544,France,454.74,1109,32
21260,EIRE,454.5,162,3
22728,Denmark,454.5,126,7
23291,Netherlands,454.45,425,6
22432,France,454.35,233,38
21757,United Kingdom,454.3,80,43
72789,United Kingdom,454.03,120,45
20755,United Kingdom,453.9,524,120
23019,United Kingdom,453.7,58,24
23310,Sweden,453.6,1080,3
85215,United Kingdom,453.44,538,60
23209,Australia,453.15,311,4
90010A,United Kingdom,452.8,50,31
22962,Germany,452.76,540,34
21231,EIRE,452.64,384,18
21355,USA,452.4,408,2
22366,Germany,452.19,63,13
45008C,United Kingdom,451.97,41,25
17164D,United Kingdom,450.78,1159,34
35969,United Kingdom,449.89,393,73
85099B,Switzerland,449.7,240,6
21680,Germany,449.65,529,37
23210,Germany,449.52,408,5
23213,Germany,449.52,408,7
84706D,United Kingdom,449.49,193,14
21669,Germany,449.4,348,29
20616,United Kingdom,449.28,281,123
85211,United Kingdom,449.25,295,78
84827,United Kingdom,448.84,964,35
21239,Germany,448.8,528,46
47592A,United Kingdom,448.37,241,93
23066,EIRE,448.35,59,4
23569,Netherlands,448.2,108,1
22361,EIRE,447.6,168,8
22083,Australia,447.6,168,6
20621,United Kingdom,447.47,205,33
72801D,United Kingdom,447.42,554,62
22231,Netherlands,446.88,384,8
85006,France,446.4,1440,1
85014A,EIRE,446.25,75,20
22080,EIRE,446.25,285,17
22699,Netherlands,446.1,174,6
23242,Australia,446.08,241,3
48184,France,446.06,66,10
POST,USA,446.0,4,4
90013B,United Kingdom,445.88,108,82
20719,Switzerland,445.5,570,18
22192,EIRE,445.4,56,13
84952A,United Kingdom,445.15,161,40
22188,Netherlands,445.12,128,2
23455,United Kingdom,445.11,159,33
23293,Sweden,444.88,536,4
84569B,United Kingdom,444.68,343,74
20676,Netherlands,444.1,410,9
23154,Netherlands,444.0,240,2
23156,Netherlands,444.0,240,2
23157,Netherlands,444.0,240,2
84347,EIRE,443.7,174,13
22138,Portugal,443.55,93,18
22151,EIRE,443.52,1056,19
23180,United Kingdom,442.89,86,40
23198,Germany,442.8,312,20
23597,United Kingdom,442.62,158,29
22729,France,442.5,118,22
21844,Spain,442.5,150,12
22866,EIRE,442.2,222,11
20685,Australia,442.14,62,8
22945,EIRE,441.96,564,11
23296,Australia,441.86,418,4
16243B,United Kingdom,441.77,212,8
22720,Norway,441.6,96,13
23389,Australia,441.4,116,4
21536,United Kingdom,441.14,205,61
21077,Netherlands,441.13,685,6
22176,Germany,441.0,156,18
84849B,EIRE,440.64,288,9
15056P,EIRE,440.3,74,16
POST,Poland,440.0,11,6
16207B,United Kingdom,439.95,259,45
90192,United Kingdom,439.76,88,53
84997A,Denmark,439.7,110,6
90154,United Kingdom,439.65,59,7
84378,France,439.3,338,17
16161M,United Kingdom,439.0,1050,39
23480,Germany,438.75,117,14
90120B,United Kingdom,438.68,104,42
21535,EIRE,438.6,172,27
22854,EIRE,438.6,92,15
84945,EIRE,438.6,516,19
22192,Germany,438.6,54,9
22366,Netherlands,438.5,66,5
21232,France,437.71,383,18
23192,Netherlands,437.4,300,6
85099F,France,437.3,240,5
23052,Germany,437.25,53,10
23050,Germany,437.25,53,10
22908,Germany,436.9,514,37
22672,EIRE,436.8,288,9
22425,EIRE,436.65,95,13
23207,Australia,436.65,301,3
22892,Germany,436.32,360,22
22504,France,435.9,18,7
20775,United Kingdom,435.8,251,117
47503K,United Kingdom,435.74,251,41
21207,France,435.6,264,17
22554,EIRE,435.6,264,16
22554,Belgium,435.6,264,22
72128,United Kingdom,435.44,706,96
84859B,United Kingdom,435.41,283,19
22092,United Kingdom,435.32,734,134
84510F,United Kingdom,435.25,1101,40
22603,Netherlands,435.12,600,5
22416,Sweden,435.0,300,3
23306,Sweden,435.0,300,3
84988,Sweden,435.0,300,6
